#Site-label   Center(X)   Center(Y)   Center(Z)  Site-Type   N-Neighbors   Occupancy  Site-Amplitud
    338      14.792308    0.123077   22.957692       0           4        0.525684     0.662220   
    339      14.844444    6.648889    3.351111       0           4        0.380385     0.727614   
    340      14.800000    6.685000   16.375000       0           4        0.287999     0.529009   
    341      14.777778   13.146667    9.924444       0           4        0.515591     0.660086   
    342      14.807143   13.160714   23.035714       0           4        0.516141     0.706105   
    343      14.800000   19.636364    3.469091       0           4        0.605778     0.673866   
    344      14.812245   19.644898   16.473469       0           4        0.487760     0.662257   
    345      15.602151    0.993548    8.333333       1           2        0.938646     1.092977   
    346      15.600000    0.980645   21.318280       1           2        0.963479     1.040347   
    347      15.604651    5.916279    1.846512       1           2        0.870144     1.073955   
    348      15.620000    5.920000   14.842500       1           2        0.923957     0.990256   
    349      15.621739    7.454348    5.054348       1           2        0.927054     1.075553   
    350      15.616092    7.432184   18.000000       1           2        0.944043     0.999958   
    351      15.606897   12.393103   24.554023       1           2        0.896626     1.057606   
    352      15.640909   18.875000    1.768182       1           2        0.882136     0.995966   
    353      15.632941   18.903529   14.797647       1           2        0.934799     1.038119   
    354      15.655172   20.480460    5.096552       1           2        0.899773     1.114374   
    355      15.608989   25.393258   11.555056       1           2        0.934100     1.115725   
    356      15.613636   25.390909   24.586364       1           2        0.882486     0.981881   
    357      15.639080   12.374713   11.588506       1           2        0.953136     0.997699   
    358      15.645652   13.986957    8.221739       1           2        0.943393     0.985608   
    359      15.662500   14.031250   21.187500       1           2        0.923857     1.188503   
    360      15.642353   20.482353   18.091765       1           2        0.894827     1.034719   
    361      16.451613    5.019355   13.158065       0           4        0.544721     0.775194   
    362      16.406557    5.042623    0.222951       0           4        0.627913     0.709486   
    363      16.360656    8.301639    6.708197       0           4        0.574100     0.698930   
    364      16.369231    8.303846   19.719231       0           4        0.579397     0.653824   
    365      16.328000   18.044000   26.244000       0           4        0.368393     0.672500   
    366      16.523077    1.788462    6.619231       0           4        0.550167     0.735028   
    367      16.452381    1.833333   19.700000       0           4        0.302689     0.646270   
    368      16.476000   11.584000    0.156000       0           4        0.376388     0.632430   
    369      16.457143   11.522449   13.175510       0           4        0.253274     0.671339   
    370      16.404545   14.800000   19.681818       0           4        0.306736     0.557092   
    371      16.433333   14.790476    6.614286       0           4        0.288999     0.585114   
    372      16.410526   18.026316   13.194737       0           4        0.366245     0.507615   
    373      16.461224   21.302041    6.677551       0           4        0.311883     0.630979   
    374      16.431373   21.313725   19.674510       0           4        0.347108     0.651889   
    375      16.434483   24.575862    0.089655       0           4        0.424454     0.691936   
